date,time,company,title,url
2026-02-11,02:10,エアークローゼット,エアークローゼットが国内最大級の婚活サービスIBJと、パーソナルスタイリングによる婚活支援で協業を開始,https://prtimes.jp/main/html/rd/p/000000264.000011623.html
2026-02-11,02:10,サンユインダストリアル,サンユインダストリアル、イタリア拠点に「multibook」導入で月末集計作業を約80％削減,https://prtimes.jp/main/html/rd/p/000000245.000015843.html
2026-02-11,02:10,Aivon Ltd.,Aivon Ltd.の極低温測定機器を日本市場へ正式提供開始 - 研究開発現場の精度・効率向上を支援！,https://prtimes.jp/main/html/rd/p/000000038.000097250.html
2026-02-11,02:10,CommerceXホールディングス,CommerceXホールディングス、食品ロス削減ショップ「ecoeat」運営の株式会社グッディアをM&Aで経営統合,https://prtimes.jp/main/html/rd/p/000000004.000171108.html
2026-02-11,02:10,決裁者マッチング支援,決裁者マッチング支援のオンリーストーリー、業界1社限定で支援する最上位プラン「VIPプラン」を新たに提供開始！　株式会社コミクス様が第一号のお客様に！,https://prtimes.jp/main/html/rd/p/000000397.000015335.html
2026-02-11,02:10,Channel Corporationと,Channel CorporationとZETA、生成AI領域における業務提携および「チャネルトーク」と「ZETA CXシリーズ」のサービス連携を開始,https://prtimes.jp/main/html/rd/p/000000146.000029184.html
2026-02-11,02:10,建設DX  2026年2月10日 大型ダ,【建設DX】【2026年2月10日】大型ダンプマッチングサービス「Dumps（ダンプス）」 βテスト版をローンチしました。,https://prtimes.jp/main/html/rd/p/000000002.000177699.html
2026-02-11,02:10,社内,社内の「質問できない」を仕組みで解決。AIエージェント「GenAi WorkAgent」提供開始,https://prtimes.jp/main/html/rd/p/000000015.000118664.html
2026-02-11,02:10,うち,「うちの宿にロボットを導入したら、こう変わった！」～宿泊施設のリアルな導入事例と費用を解説するセミナーを開催します！～,https://prtimes.jp/main/html/rd/p/000006445.000052467.html
2026-02-11,02:10,TAIMATSU株式会社,TAIMATSU株式会社、東京活動写真を「TAIMATSU STUDIO株式会社」として子会社に迎え新たな事業展開へ,https://prtimes.jp/main/html/rd/p/000000023.000155812.html
2026-02-11,02:10,ロードサイド飲食店業界初※デジタルサイネ,ロードサイド飲食店業界初※デジタルサイネージによる渋滞解決ソリューションを導入,https://prtimes.jp/main/html/rd/p/000000001.000177521.html
2026-02-11,02:10,M&A支援ノウハウをまとめた 事業承継『,M&A支援ノウハウをまとめた「事業承継『M&A』支援教材（上級編）」の動画配信を開始,https://prtimes.jp/main/html/rd/p/000001854.000021609.html
2026-02-11,02:10,BEYOND AGE,BEYOND AGE、フードロス解決を目指す「うちのや株式会社」へ出資を実施,https://prtimes.jp/main/html/rd/p/000000021.000129363.html
2026-02-11,02:10,士業,士業の専門性と価値を「人材シェア」で最大化する,https://prtimes.jp/main/html/rd/p/000000011.000153661.html
2026-02-11,02:10,参加募集中  2/18(水) 映画業界 ,【参加募集中】 2/18(水)「映画業界」攻略セミナー（VIPOアカデミー「業界研究ベーシックコース」単発受講）開催,https://prtimes.jp/main/html/rd/p/000000234.000103029.html
2026-02-11,02:10,開催報告 約160名,【開催報告】約160名が集結、2026年 賀詞交歓会を開催海外拠点・新プロジェクト発表で次なる連携,https://prtimes.jp/main/html/rd/p/000000012.000161515.html
2026-02-11,02:10,起業プラザひょうご姫路 × 01Boos,起業プラザひょうご姫路 × 01Booster、地域中小企業向け新規事業セミナーを姫路で開催― 地域中小企業向け「新規事業・オープンイノベーション」の考え方を解説 - 時事ドットコム,https://news.google.com/rss/articles/CBMia0FVX3lxTE9PRElsanVuRElSLXZBUGF4S3dUb0x3dEdyMVA2MW9ucV9MNkV5dUFWbktWU0FtZlZmc0RiakpUVmNSYUM0YWxTV2J1am1pbDZoOE9IaW5WVFFvSlR4WUUwQV9fNEduTm5PR1FF?oc=5
2026-02-11,02:10,事業開発を“物語”で学ぶ研修  フューチ,事業開発を“物語”で学ぶ研修 「フューチャー・ストーリー」を法人向けに提供開始。 無料体験会を11月開催 - newscast.jp,https://news.google.com/rss/articles/CBMiT0FVX3lxTE0xUFgtZEN5dEs1WFQtUUpKZnBOcG5WVWhFVWlrZXdMbTNlTURwUVFpR1EyV0NhY1UwR3JnUVhHalp2VTJVeS1zRDdLcU5kMDQ?oc=5
2026-02-11,02:10,法人向け新規事業開始意欲分析AIエージェ,法人向け新規事業開始意欲分析AIエージェント「Metareal ビズスタート(Metareal BZ)」プレミアムプラン10/21提供開始 - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE1TWk15ZXJWblBLSE9sbU1tM05xNEpBNDA3amlUbFJGcTVHZFJYa1ljYjRfdEJFLTdUOWtsTzN4Wjc3dWFyZkloV0todDh4Mk1lcW1FdVozMU83a3lia04yYmhsb0dNeWRPblE?oc=5
2026-02-11,02:10,おいしいを大切にしてきた創業124年,おいしいを大切にしてきた創業124年の新宿中村屋が届ける新規事業法人向けオフィス常設型の社食サービス「Office Stand By You」～2025年11月本格提供開始～ - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE9fZS00LVUxMFZrZE92N1RWMGxhXzNxNnFMZHlDcGE4eXJBdm0wU19Dd0c4RVdQSUxJXzlyOXFIekRiLWhHLUNRbHlBMlJ6TkduSjVYaXpvMXF0cjdZNEc2UEdqZ05rZC1KUWc?oc=5
2026-02-11,02:10,事業者向けプレミアムビジネス講座Edge,事業者向けプレミアムビジネス講座Edge「CEATEC 2025」に出展 〜テレビ局発、新規事業を「学び」「生み出し」「育て」「広げる」プラットフォーム〜 | 東海テレビ放送株式会社のプレスリリース - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTFBXT1FwdVNBYzEtZmRfY3FPT3F2bXN6dkl3VW5YWnozYjFDRnQ1amNZX1B3enYwTF84cFNyVm5rd2pBWHVRcGk4TWdUQlhwb0UwTmp5WGRncnd6c181a3hFTTBqTXBXV0hvc1E?oc=5
2026-02-11,02:10,新規事業を生み出す鍵 東海テレビプレミア,【新規事業を生み出す鍵】東海テレビプレミアムビジネススクール「Edge」TECH BEAT Shizuoka 2025に出展決定！〜テレビ局発の新規事業支援プログラムが静岡での共創の場に登場〜 | 東海テレビ放送株式会社のプレスリリース - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTFBESzh6b24zWXVaVGVOcGVZekVHZlhSZFhXcldmVDVGWkw3Wk5CdFdUZkExb3VESDhjcUN3LXNvLWRod0VteW1Gek1UbHBRRVVUOW5jbWFnZE5MekQ3VExvemR2Q244Y0pqUlE?oc=5
2026-02-11,02:10,株式会社YOUTRUST,株式会社YOUTRUST、労働生産性を上げる2つの企業向け新ソリューションを提供開始 - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE1meXZFY01URHhUTVZVZHp4TDNFQldmQ1RBSTZLR3lUeGhPdDYxYUxfbG5xU0w2UXBYXzd1ZjBaN2RmaUZYQjkwaTZzMm5RUUxRenlIRzZwOUt4WTlqUXZvX2pKMUdIaEFNVmc?oc=5
